,cate,tt,dt,game_id,series,complete
91,1,20210328LTHH02021-1.mp4,0.005569095,20210328LTHH02021,1,x
98,1,20210328SSLG02021-2.mp4,0.005569095,20210328SSLG02021,2,o
100,1,20210328WOHT02021-1.mp4,0.005569095,20210328WOHT02021,1,o
101,1,20210328WOHT02021-2.mp4,0.005569095,20210328WOHT02021,2,o
103,1,20210329SKLG02021-1.mp4,0.005569095,20210329SKLG02021,1,o
107,1,20210330KTHT02021-2.mp4,0.005569095,20210330KTHT02021,2,o
112,1,20210330NCLT02021-3.mp4,0.005569095,20210330NCLT02021,3,x
114,1,20210330OBSS02021-1.mp4,0.005569095,20210330OBSS02021,1,o
115,1,20210330OBSS02021-2.mp4,0.005569095,20210330OBSS02021,2,o
121,1,20210330WOHH02021-1.mp4,0.005569095,20210330WOHH02021,1,o
127,1,20210403SSWO02021-3.mp4,0.005569095,20210403SSWO02021,3,o
130,1,20210404HHKT02021-2.mp4,0.005569095,20210404HHKT02021,2,o
133,1,20210404HTOB02021-1.mp4,0.005569095,20210404HTOB02021,1,o
134,1,20210404HTOB02021-2.mp4,0.005569095,20210404HTOB02021,2,o
138,1,20210404LGNC02021-2.mp4,0.005569095,20210404LGNC02021,2,o
139,1,20210404LGNC02021-3.mp4,0.005569095,20210404LGNC02021,3,o
606,3,20210501SKOB02021-3.mp4,0.005569095,20210501SKOB02021,3,x
683,3,20210508LTSS02021-4.mp4,0.005569095,20210508LTSS02021,4,x
765,4,20210512SSKT02021-1.mp4,0.005569095,20210512SSKT02021,1,x
141,1,20210404LTSK02021-1.mp4,0.004169231,20210404LTSK02021,1,x
147,1,20210404SSWO02021-3.mp4,0.004169231,20210404SSWO02021,3,o
600,3,20210501LGSS02021-1.mp4,0.004169231,20210501LGSS02021,1,x
602,3,20210501LGSS02021-3.mp4,0.004169231,20210501LGSS02021,3,x
763,4,20210512SKLT02021-3.mp4,0.004169231,20210512SKLT02021,3,x
137,1,20210404LGNC02021-1.mp4,0.001457881,20210404LGNC02021,1,o
149,1,20210406HHSK02021-1.mp4,0.001457881,20210406HHSK02021,1,o
151,1,20210406HHSK02021-3.mp4,0.001457881,20210406HHSK02021,3,o
4,,20210321KTOB02021-1.mp4,,20210321KTOB02021,1,x
470,,20210423SKWO02021-1.mp4,,20210423SKWO02021,1,x
631,,20210502WONC02021-1.mp4,,20210502WONC02021,1,x
688,,20210508NCKT02021-5.mp4,,20210508NCKT02021,5,x
